id,model,makeId,typeId
1,MDX 3.5L,1,2
2,MDX 3.7L,1,2
3,FURGOVAN 6000,2,3
4,CROSSLINE,3,1
5,145,4,1
6,145 1.6,4,1
7,145 1.8 TS 16V,4,1
8,145 1.9 JTD,4,1
9,145 16V TSL 1.8,4,1
10,145 2.0 QUADRIFOGLIO,4,1
11,145 2.0 TS 16V,4,1
12,145 2.0TI,4,1
13,145 P TD,4,1
14,145 QUADRIFOGLIO 2.0TI,4,1
15,145 TD,4,1
16,145 TS 16V,4,1
17,145 TS GT 1.8 16V,4,1
18,145 TS QUADRIFOGLIO AGV,4,1
19,146 1.4TS,4,1
20,146 1.6,4,1
21,146 1.8 TS 16V,4,1
22,146 1.9 JTD,4,1
23,146 16V TS TI STEP A 2.0,4,1
24,146 TD,4,1
25,146 TD 2.0,4,1
26,146 TD LUXE 2.0,4,1
27,146 TI,4,1
28,146 TI 16V,4,1
29,146 TI 2.0,4,1
30,146 TS GT 1.8 16V,4,1
31,146 TS L STEP 1.8,4,1
32,147 1.6 MPI 16V  T. SPARK,4,1
33,147 1.9 JTD,4,1
34,147 1.9 JTDM,4,1
35,147 2.0 MPI 16V TSPARK,4,1
36,147 2.0 T.SPARK,4,1
37,147 2.0MPI 16V,4,1
38,147 2.0MPI 16V SELESPEED,4,1
39,147 2.0MPI 16V TSPARK,4,1
40,147 3.2 GTA V6 24V,4,1
41,147 SELESPEED,4,1
42,147 T.SPARK 1.6,4,1
43,147 TWIN SPARK 1.6,4,1
44,155,4,1
45,155 1.5,4,1
46,155 1.8 FORMULA,4,1
47,155 2.5 V6,4,1
48,155 Q4,4,1
49,155 T SPARK 1.7,4,1
50,155 T.SPARK 1.8,4,1
51,155 T.SPARK 2.0,4,1
52,155 T.SPARK SUPER 2.0,4,1
53,155 TD 2.5,4,1
54,155 TS,4,1
55,155 TS 2.0,4,1
56,156,4,1
57,156 1.6 T.SPARK,4,1
58,156 1.6TS,4,1
59,156 1.8 T.SPARK,4,1
60,156 1.8TS,4,1
61,156 1.9 JTD,4,1
62,156 1.9 JTD SPORTWAGON,4,1
63,156 2.0 T. SPARK,4,1
64,156 2.0TS,4,1
65,156 2.4 JTD,4,1
66,156 2.4 JTD SPORTWAGON,4,1
67,156 2.4TD,4,1
68,156 2.5 V6 24V,4,1
69,156 CROSSWAGON Q4 1.9,4,1
70,156 GTA 3.2 V6 24V,4,1
71,159 1.8 TBI,4,1
72,159 1.9 JTDM,4,1
73,159 1.9JTD,4,1
74,159 1.9JTS,4,1
75,159 2.2JTS,4,1
76,159 2.4JTD,4,1
77,159 3.2 JTS Q4,4,1
78,159 3.2JTS,4,1
79,159 COUPE BRERA 2.2 JTS,4,1
80,159 COUPE BRERA 3.2 JTS,4,1
81,159 TI,4,1
82,159 TI 2.2,4,1
83,166 2.5 V6 24V,4,1
84,166 3.0 V6 24V,4,1
85,166 3.2 V6 24V,4,1
86,2000,4,1
87,2000 SPIDER,4,1
88,2600,4,1
89,ALFA 145,4,1
90,ALFA 145 TS 16V 2.0,4,1
91,ALFA 146 TS 1.6,4,1
92,ALFA 156 2.0,4,1
93,BRERA,4,1
94,GIULIA 200CV,4,1
95,GIULIA 280CV,4,1
96,GIULIA QUADRIFOGLIO,4,1
97,GIULIA QUADRIFOLIO,4,1
98,GIULIETTA,4,1
99,GIULIETTA 170CV,4,1
100,GIULIETTA DISTINCTIVE 120,4,1
101,GIULIETTA PROGRESSION,4,1
102,GIULIETTA QUADRIFOGLIO,4,1
103,GT,4,1
104,GT 1.8,4,1
105,GT 1.9 JTD,4,1
106,GT 3.2 24V,4,1
107,GT 3.2 JTS,4,1
108,GT 3.2 V6 24V,4,1
109,GTV,4,1
110,GTV 2000 TS 16V,4,1
111,GTV 3.0 T.SPARK 24V,4,1
112,GTV 3.0 V6 24V,4,1
113,GTV V6 TB,4,1
114,GTV6 2.5,4,1
115,MITO,4,1
116,MITO DISTINCTIVE,4,1
117,MITO JUNIOR,4,1
118,MITO PROGRESSION,4,1
119,MITO PROGRESSION 135 CV,4,1
120,MITO QV,4,1
121,MITO VELOCE,4,1
122,SPIDER,4,1
123,SPIDER 2.2 JTS,4,1
124,SPIDER 3.0 T.SPARK,4,1
125,SPIDER 3.2 JTS,4,1
126,SPIDER T.SPARK 12V L,4,1
127,SPIDER T.SPARK 16V L,4,1
128,SPIDER V6,4,1
129,STELVIO 200CV,4,1
130,STELVIO 200CV,4,2
131,STELVIO 280CV SUPER,4,2
132,T.SPARK 1.6 146,4,1
133,T_SPARK 16V SPIDER,4,1
134,VELOCE SPIDER,4,1
135,10 SPARTANA,5,2
136,10.0,5,2
137,10.1,5,2
138,10.2,5,2
139,10.3,5,2
140,10.4,5,2
141,10.6,5,2
142,10.8,5,2
143,10.9,5,2
144,240,5,2
145,241,5,2
146,242,5,2
147,243,5,2
148,244,5,2
149,246,5,2
150,320,5,2
151,323,5,3
152,324 (CABINA DOBLE),5,2
153,335,5,2
154,AM 825,6,3
155,BUS DLX 25 AS.,6,3
156,COMBI,6,3
157,COMBI AM 825,6,3
158,R2 VAN,6,2
159,TOPIC,6,3
160,TOPIC 12C,6,3
161,TOPIC 15C DLX,6,3
162,TOPIC 15C EST,6,3
163,TOPIC 3V,6,3
164,TOPIC AM 725 12C DLX,6,3
165,TOPIC AM725,6,3
166,TOPIC DLX,6,3
167,TOPIC J2,6,3
168,TOWNER,6,2
169,TOWNER,6,3
170,TOWNER A111 DLX,6,3
171,TOWNER A114 SDX,6,2
172,TOWNER COACH MPI,6,2
173,TOWNER COACH MPI STD,6,2
174,TOWNER COACH SDX,6,2
175,TOWNER COACH STD,6,2
176,TOWNER DLX MPI,6,3
177,TOWNER MPI,6,2
